,time,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,sim10,mean,std,upper,lower
280,280,14.148351648351648,10.851648351648352,11.126373626373626,13.04945054945055,9.615384615384615,9.615384615384615,11.813186813186814,12.087912087912088,10.714285714285714,10.027472527472527,11.304945054945055,1.4879895707764004,12.227210545878085,10.382679564012024
281,281,14.148351648351648,10.851648351648352,11.126373626373626,13.04945054945055,9.615384615384615,9.615384615384615,11.813186813186814,12.087912087912088,10.851648351648352,10.027472527472527,11.318681318681318,1.4825551988881012,12.237578551021743,10.399784086340892
282,282,14.148351648351648,10.989010989010989,11.263736263736265,13.186813186813186,9.615384615384615,9.615384615384615,11.813186813186814,12.087912087912088,11.126373626373626,10.027472527472527,11.387362637362637,1.487143961935172,12.309104014505888,10.465621260219386
283,283,14.148351648351648,10.989010989010989,11.263736263736265,13.324175824175825,9.478021978021978,9.752747252747254,11.813186813186814,12.087912087912088,11.126373626373626,10.027472527472527,11.401098901098901,1.5075162667723743,12.335467163598825,10.466730638598978
284,284,14.148351648351648,10.989010989010989,11.263736263736265,13.324175824175825,9.752747252747254,9.752747252747254,11.813186813186814,12.087912087912088,11.263736263736265,10.027472527472527,11.442307692307692,1.4681317995876362,12.352265209143372,10.532350175472011
285,285,14.148351648351648,10.989010989010989,11.263736263736265,13.324175824175825,9.752747252747254,9.89010989010989,11.813186813186814,12.087912087912088,11.401098901098901,10.027472527472527,11.46978021978022,1.4497381134603997,12.368337211841153,10.571223227719289
286,286,14.148351648351648,10.989010989010989,11.401098901098901,13.324175824175825,9.752747252747254,10.027472527472527,11.813186813186814,12.087912087912088,11.538461538461538,10.027472527472527,11.510989010989011,1.4316206773525864,12.398316699811144,10.623661322166878
287,287,14.148351648351648,10.989010989010989,11.538461538461538,13.324175824175825,9.752747252747254,10.164835164835164,11.813186813186814,12.087912087912088,11.538461538461538,10.027472527472527,11.538461538461538,1.4157165598663284,12.4159317531391,10.660991323783977
288,288,14.285714285714286,10.989010989010989,11.538461538461538,13.324175824175825,9.752747252747254,10.164835164835164,11.813186813186814,12.225274725274724,11.675824175824175,10.027472527472527,11.579670329670332,1.4508945504682667,12.478944088814677,10.680396570525987
289,289,14.285714285714286,11.126373626373626,11.675824175824175,13.324175824175825,9.752747252747254,10.164835164835164,11.813186813186814,12.225274725274724,11.675824175824175,10.027472527472527,11.607142857142858,1.44539323421837,12.503006865149404,10.711278849136312
290,290,14.285714285714286,11.126373626373626,11.675824175824175,13.324175824175825,9.752747252747254,10.164835164835164,11.813186813186814,12.225274725274724,11.675824175824175,10.027472527472527,11.607142857142858,1.44539323421837,12.503006865149404,10.711278849136312
291,291,14.423076923076923,11.126373626373626,11.675824175824175,13.598901098901099,9.89010989010989,10.164835164835164,11.813186813186814,12.225274725274724,11.813186813186814,10.027472527472527,11.675824175824177,1.4935445448992757,12.601532675389237,10.750115676259117
292,292,14.423076923076923,11.126373626373626,11.675824175824175,13.736263736263735,9.89010989010989,10.164835164835164,11.813186813186814,12.225274725274724,11.813186813186814,10.164835164835164,11.703296703296704,1.4974697672922033,12.631438080906296,10.775155325687113
293,293,14.423076923076923,11.126373626373626,11.675824175824175,13.736263736263735,9.89010989010989,10.302197802197803,11.813186813186814,12.225274725274724,11.95054945054945,10.164835164835164,11.730769230769232,1.4839686372860548,12.650542521304951,10.810995940233513
294,294,14.423076923076923,11.126373626373626,11.813186813186814,13.736263736263735,10.027472527472527,10.302197802197803,11.813186813186814,12.362637362637363,11.95054945054945,10.164835164835164,11.77197802197802,1.4709850367551052,12.683703993531855,10.860252050424185
295,295,14.423076923076923,11.126373626373626,11.813186813186814,13.873626373626374,10.164835164835164,10.43956043956044,11.813186813186814,12.362637362637363,11.95054945054945,10.164835164835164,11.813186813186812,1.4594667994971824,12.717773707325058,10.908599919048566
296,296,14.56043956043956,11.263736263736265,11.813186813186814,13.873626373626374,10.164835164835164,10.576923076923077,11.813186813186814,12.362637362637363,11.95054945054945,10.164835164835164,11.854395604395604,1.466703099561032,12.763467603780551,10.945323605010657
297,297,14.56043956043956,11.263736263736265,11.95054945054945,14.010989010989011,10.302197802197803,10.576923076923077,11.813186813186814,12.5,11.95054945054945,10.43956043956044,11.936813186813186,1.4427800261533115,12.831057511680573,11.0425688619458
298,298,14.56043956043956,11.401098901098901,11.95054945054945,14.148351648351648,10.43956043956044,10.576923076923077,11.95054945054945,12.5,11.95054945054945,10.43956043956044,11.991758241758241,1.4407442540885107,12.884740782027372,11.09877570148911
299,299,14.56043956043956,11.401098901098901,11.95054945054945,14.148351648351648,10.43956043956044,10.576923076923077,11.95054945054945,12.5,11.95054945054945,10.576923076923077,12.005494505494505,1.4248684043835096,12.888637092171406,11.122351918817605
300,300,14.56043956043956,11.538461538461538,11.95054945054945,14.148351648351648,10.43956043956044,10.576923076923077,12.087912087912088,12.5,11.95054945054945,10.576923076923077,12.032967032967033,1.4189707449473496,12.912454212454213,11.153479853479853
301,301,14.697802197802197,11.538461538461538,11.95054945054945,14.148351648351648,10.576923076923077,10.576923076923077,12.087912087912088,12.5,11.95054945054945,10.576923076923077,12.06043956043956,1.4301555038264142,12.946859125301716,11.174019995577405
302,302,14.697802197802197,11.538461538461538,11.95054945054945,14.148351648351648,10.576923076923077,10.576923076923077,12.087912087912088,12.5,12.225274725274724,10.714285714285714,12.101648351648352,1.4149018441558339,12.978613600296939,11.224683102999766
303,303,14.697802197802197,11.538461538461538,11.95054945054945,14.148351648351648,10.576923076923077,10.576923076923077,12.225274725274724,12.5,12.225274725274724,10.714285714285714,12.115384615384617,1.4154203538666714,12.992671239681535,11.238097991087699
304,304,14.697802197802197,11.538461538461538,11.95054945054945,14.285714285714286,10.576923076923077,10.576923076923077,12.225274725274724,12.5,12.225274725274724,10.714285714285714,12.12912087912088,1.4378310082523869,13.020297770913684,11.237943987328075
305,305,14.697802197802197,11.538461538461538,11.95054945054945,14.56043956043956,10.576923076923077,10.714285714285714,12.225274725274724,12.5,12.362637362637363,10.714285714285714,12.184065934065933,1.4709850367551052,13.095791905619768,11.272339962512097
306,306,14.835164835164836,11.538461538461538,11.95054945054945,14.972527472527473,10.576923076923077,10.714285714285714,12.5,12.637362637362637,12.362637362637363,10.714285714285714,12.28021978021978,1.5784422151743984,13.258548400982667,11.301891159456892
307,307,14.972527472527473,11.538461538461538,12.087912087912088,15.10989010989011,10.576923076923077,10.714285714285714,12.774725274725276,13.04945054945055,12.362637362637363,10.714285714285714,12.390109890109887,1.645551141559238,13.410033054378887,11.370186725840886
308,308,15.10989010989011,11.538461538461538,12.087912087912088,15.247252747252746,10.576923076923077,10.714285714285714,12.774725274725276,13.04945054945055,12.5,10.851648351648352,12.445054945054945,1.680097236419852,13.486390000752607,11.403719889357284
