Cell, Cell, Area (µm²)
2494,2870,10.8194
2494,2869,34.3704
2494,3278,1.11411
2494,2630,12.7141
2494,2602,22.6779
4007,4111,3.38563
4007,4265,35.5256
4007,4641,27.5534
4007,4355,20.6614
1841,1895,43.7575
1841,1885,1.74202
1841,2438,18.2863
1841,2374,11.6449
1841,2246,4.40843
1841,2230,21.7538
1841,2164,18.6595
1841,2039,7.20321
1840,1942,6.6267
1840,1916,30.6287
1840,2523,0.0456257
1840,2348,8.36157
1840,2341,42.2435
1840,2638,31.8563
1840,1958,12.6319
1838,1937,0.3721
1838,2238,2.29739
1838,2213,29.7605
1838,2201,0.0747168
1838,2050,15.3828
1838,1966,11.4645
4002,4014,18.0344
4002,4543,11.3226
4002,5312,22.5254
4002,5308,22.68
4002,4155,22.9575
4002,4517,19.9658
4002,4354,23.6248
4002,4029,3.72622
3442,3478,25.9531
3442,4158,19.2559
3442,3682,21.836
3442,3925,56.6879
3442,3636,36.2032
3442,3465,15.4255
3442,4237,27.6096
3442,3851,10.5762
3442,4049,26.0858
3442,4466,13.5545
3440,3971,0.136211
3440,3957,3.30107
3440,3696,24.2447
3440,5261,6.61896
3440,3678,9.54456
3440,3591,0.368366
3440,3588,7.13145
3440,3847,47.2225
1002,1907,4.00914
1002,1719,35.8892
1002,1368,13.93
1002,1348,43.6244
1002,1169,70.6694
4001,4152,40.5967
3016,3402,28.4694
3016,3388,5.01913
3016,3187,9.68661
3016,3099,8.55046
3010,3092,16.3416
3010,3036,4.50651
3010,3442,16.6481
3010,3465,14.484
3010,3258,10.2495
3010,3200,19.4467
3010,3170,1.83189
2482,3063,19.8993
2482,2848,83.4293
2482,2631,10.5747
3007,3065,22.5189
3007,3031,4.33155
3007,3735,8.78509
3007,3345,18.5736
3007,3344,26.8856
3007,3222,2.89332
3007,3161,17.2945
3007,3504,11.2187
3006,3472,13.5718
3006,3007,27.5342
3006,3345,7.06676
3006,3344,32.8492
3006,3323,4.20315
3006,3322,20.0758
3006,3603,0.042724
5308,5312,18.1637
3004,3065,65.363
3004,3034,9.40786
3004,3007,1.99865
3004,3735,11.7153
3004,3224,7.83555
3004,3153,13.2445
995,1096,72.2722
995,1460,30.6868
995,1253,19.4093
995,1252,2.90346
995,1222,11.6966
995,1220,43.6287
1827,1928,2.32966
1827,2230,18.5584
1827,2207,18.6451
1827,1976,10.9489
1825,1928,6.31438
1825,1826,10.2091
1825,2296,24.3907
1825,2273,8.56714
1825,2243,31.0928
1825,2206,4.20493
1825,2193,3.43492
1825,2037,22.4418
1825,1976,3.62793
992,1146,17.376
992,1112,18.6616
992,1110,61.2327
992,1076,2.27074
992,1051,55.0527
992,1018,10.4393
992,1009,0.919217
992,1653,14.9143
992,1426,5.34468
991,1110,10.1782
991,1084,9.48944
991,1018,35.3103
991,1634,2.99204
991,1596,13.7543
991,1530,12.2624
991,1529,23.6387
991,1458,3.42221
991,1326,85.7392
990,1144,0.20104
990,1459,10.2675
990,1314,80.84
990,1252,2.79885
990,1242,30.9523
1826,1928,46.131
1826,2524,21.5758
1826,1827,14.4977
1826,2416,5.88467
1826,2296,12.8985
1826,2243,5.80397
1826,2230,10.4502
1826,1976,47.3471
3767,4007,28.0426
3767,3925,3.86935
3767,4111,26.958
3767,4355,0.585435
4331,4813,18.1057
4331,4488,21.1653
4189,4203,11.3616
4189,5285,9.93573
4189,4605,16.8468
4189,4518,15.3617
4189,4225,23.1653
4189,4224,5.30601
1824,2054,18.8731
4329,4763,23.9543
4329,4652,25.2091
4329,4492,31.1712
4329,4567,18.4542
4329,4634,15.0699
3433,3463,1.73101
3433,3783,7.29708
3433,3739,34.5245
3433,3679,3.45007
3433,3625,23.1712
3433,4095,9.86045
3433,3877,30.7927
3433,4030,1.68834
3433,3812,12.156
980,1086,13.613
980,1622,0.558328
980,1608,2.32432
980,1277,12.5957
980,1255,21.7554
980,1160,21.701
2470,3032,46.5154
2470,2869,6.05594
2470,2831,13.0355
2470,2602,31.9348
978,1076,8.41028
978,1018,37.1914
978,991,1.19648
978,1368,22.4826
978,1326,8.51589
977,1144,31.0228
977,1138,20.1011
977,1095,15.6525
977,1402,75.031
3432,3476,5.91686
3432,3957,5.01345
3432,5261,4.37811
3432,3678,10.6662
3432,3901,37.1152
3432,3605,32.0807
3432,3591,8.98871
3432,4039,26.5352
3432,3492,11.8388
4185,4326,12.4618
4185,4306,9.09353
4185,4514,3.58467
4185,5234,7.16621
4185,4258,13.5673
4185,4484,90.9745
4185,4365,3.47588
4185,4631,0.497336
2996,3092,6.82313
2996,3083,7.73502
2996,3741,4.39835
2996,3287,18.6183
2996,3626,9.29392
2996,3198,11.958
2996,3520,19.4668
2996,3518,23.2452
2465,2544,37.647
2465,2923,70.2253
2465,2630,18.5182
3430,3791,43.7551
3430,3749,0.0374842
3430,3953,42.2769
3430,3566,25.8103
3430,3537,18.25
3430,3824,0.148047
3428,5234,1.13666
3428,5232,7.2545
3428,3583,5.34997
3428,3532,2.13637
2993,3043,0.742869
2993,3432,4.62835
2993,5261,35.0965
2993,3195,4.846
2993,3165,42.3241
4872,4875,11.2902
969,1039,45.8771
969,1012,1.75008
969,1600,0.405747
969,1584,15.7152
969,1300,10.3868
969,1211,20.7433
969,1196,20.0363
4326,5254,31.7947
4326,4514,21.0017
4326,5245,37.7468
4326,5234,49.8706
4326,4484,1.3626
4326,4563,19.379
966,1130,52.0764
966,1052,18.0337
966,1780,7.28341
966,1638,20.3452
966,1607,11.7938
966,1254,9.28197
966,1222,6.68989
966,1220,79.4944
3760,4198,4.00675
3760,3777,0.990436
3760,4169,56.5392
3760,4317,15.0927
3760,5245,18.444
3760,4284,0.216633
3760,5234,5.25765
3760,4500,12.2472
3760,3859,8.47176
3760,4057,15.9537
2988,3036,14.7968
2988,3393,25.6275
2988,3258,15.4335
2988,3147,1.14848
4614,4828,10.6172
2985,3082,24.0513
2985,3068,3.02344
2985,3463,13.2144
2985,3043,19.6031
2985,3195,10.6781
2985,3146,3.509
2985,3492,10.5921
1794,2289,11.0152
1794,2014,19.7305
1794,1966,31.5246
2984,3475,12.1757
2984,3019,15.6029
2984,3374,0.275057
2984,3373,14.2749
2984,3325,6.4272
2984,3198,9.96662
2984,3197,50.5731
2984,3168,9.49092
2983,3415,20.3706
2983,3345,5.48501
2983,3326,31.1027
2983,3323,0.258434
2983,3145,11.4387
2983,3490,43.7473
2982,3066,10.0608
2982,3475,3.17961
2982,3033,69.332
2982,3452,17.8449
2982,3373,4.5409
2982,3325,14.8809
2982,3619,34.3303
2982,3567,33.0789
2446,2521,21.5179
2446,2993,0.309604
2446,2672,11.3843
2446,2660,52.304
1795,1944,4.47316
1795,1916,25.8755
1795,1840,8.86112
1795,2077,15.3287
1795,2078,14.0491
1795,1958,15.3143
4940,5308,9.32443
2978,3031,7.35722
2978,3760,7.65427
2978,3317,34.2622
2978,3250,33.5834
2978,3099,9.6265
3751,4014,9.67245
3751,4261,14.4872
3751,4247,20.2998
3751,3864,38.7861
3751,4041,12.133
3751,3813,10.5409
3415,3440,6.51554
3415,3900,52.8653
3415,3591,15.6978
3415,3588,1.09498
3415,3847,28.6094
3415,3490,7.97698
2439,2966,12.7853
2439,2752,24.5618
2439,2751,19.2374
2438,2556,12.1894
2438,3036,3.96836
2438,2940,10.7365
2438,2808,7.15813
2438,2767,21.1971
2438,2586,17.441
2437,2516,14.6092
2437,2515,28.7383
2437,3449,5.24528
2437,2895,15.9964
2437,2870,14.1044
2437,3587,1.96952
2437,3224,0.819961
2437,2709,43.1327
2437,3188,29.4986
2437,3153,7.61549
2437,3536,1.36113
2437,2631,15.5921
3749,3956,18.2922
3749,3953,16.1255
3749,4058,94.1668
3749,3824,22.8449
5289,5296,52.1577
4534,4872,12.374
4534,4580,12.5255
4534,4686,4.45809
4534,4768,13.055
4534,4566,15.189
1780,1927,14.7765
1780,1891,21.2438
1780,1847,60.2977
1780,2428,16.2283
1780,2202,20.0586
1780,2175,56.0649
1780,2066,22.8629
4532,4611,9.4414
4173,4203,47.521
4173,5289,6.98881
4173,4224,39.0689
3985,5312,13.5128
